accession_name	food_name	main_ingredient	ingredient_group	genome_accession	species	Sequence_abundance	Adjusted_ANI	Eff_cov	completeness	contamination	contigs	taxonomy
ERR11865366	kefir	milk goat	Dairy	MASTER_WP4_FFoQSI_2__VB06-21__bin.6	Acinetobacter guillouiae	0.0529	96.68	0.067	99.18949772	2.01120797	74	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
ERR11865366	kefir	milk goat	Dairy	CM_UNINA_FFOOD__FFOOD_245__bin.2	Leuconostoc lactis	0.0125	97.02	0.05	99.58	0.22	34	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
ERR11865451	kefir	milk goat	Dairy	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897	Lactococcus cremoris	49.015	98.63	100	100	0.19	233	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR11865451	kefir	milk goat	Dairy	FontanaF_2023__SRR20746979__bin.3	Lactobacillus helveticus	26.3818	98.4	75	99.85	0.07	165	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865451	kefir	milk goat	Dairy	MAG_15	Acetobacter fabarum	9.8121	99.99	18	100	0.25	21	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR11865451	kefir	milk goat	Dairy	GCF_009913915.1_ASM991391v1_genomic	Leuconostoc mesenteroides	7.2468	98.46	17	100	0	3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
ERR11865451	kefir	milk goat	Dairy	FontanaF_2023__SRR20746866__bin.6	Lactococcus A raffinolactis	1.7653	99.13	4.181	100	0.15	91	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus_A
ERR11865451	kefir	milk goat	Dairy	SalgadoTS_2021__SRR13801804__bin.3	Lentilactobacillus kefiri	1.4779	99.76	3.223	99.82	0.09	55	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus
ERR11865451	kefir	milk goat	Dairy	MAG_501	Lactococcus lactis	0.8423	99.23	1.778	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR11865451	kefir	milk goat	Dairy	MAG_S8	Lactobacillus kefiranofaciens	0.6074	99.27	1.533	99.03	0	106	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865451	kefir	milk goat	Dairy	ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21	Leuconostoc lactis A	0.4814	97.54	1.32	99.44	0.84	22	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
ERR11865451	kefir	milk goat	Dairy	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	1.6028	99.43	0.645	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR11865451	kefir	milk goat	Dairy	GCF_002276885.1_ASM227688v1_genomic	Lentilactobacillus parakefiri	0.2515	99.73	0.487	98.94	0.64	116	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus
ERR11865451	kefir	milk goat	Dairy	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	0.3814	99.55	0.156	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR11865451	kefir	milk goat	Dairy	MASTER_WP4_CSIC_2__P2587__bin.9	Klebsiella terrigena	0.1345	98.61	0.121	99.18806232	0.755739796	152	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
ERR11865472	kefir	milk goat	Dairy	MAG_501	Lactococcus lactis	36.8351	99.37	90	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR11865472	kefir	milk goat	Dairy	FontanaF_2023__SRR20746979__bin.3	Lactobacillus helveticus	25.2176	98.66	83	99.85	0.07	165	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865472	kefir	milk goat	Dairy	Wy2_bin.circ.1	Streptococcus thermophilus	14.1523	99.57	43	99.89	0.15	1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ERR11865472	kefir	milk goat	Dairy	MAG_15	Acetobacter fabarum	15.0668	99.99	32	100	0.25	21	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR11865472	kefir	milk goat	Dairy	G_514_1B_orientalis_assembly	Acetobacter orientalis	7.1486	97.88	12.892	100	0	34	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR11865472	kefir	milk goat	Dairy	SRR10454491C1008_acetobacter_assembly	Acetobacter spp.	1.559	97.61	2.862	100	0	9	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR11865472	kefir	milk goat	Dairy	DeFilippisF_xxxx__DF_58__bin.5	Thermus parvatiensis	0.0206	98.56	0.062	98.72881356	0	162	Deinococcota;Deinococci;Deinococcales;Thermaceae;Thermus
ERR11865495	kefir	milk goat	Dairy	MAG_501	Lactococcus lactis	70.4947	99.41	170	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR11865495	kefir	milk goat	Dairy	FontanaF_2023__SRR20746979__bin.3	Lactobacillus helveticus	16.3151	98.46	53	99.85	0.07	165	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865495	kefir	milk goat	Dairy	GCF_009913915.1_ASM991391v1_genomic	Leuconostoc mesenteroides	6.7149	99.2	18	100	0	3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
ERR11865495	kefir	milk goat	Dairy	SRR10454491C1008_acetobacter_assembly	Acetobacter spp.	5.58	97.93	10.109	100	0	9	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR11865495	kefir	milk goat	Dairy	SalgadoTS_2021__SRR13801804__bin.3	Lentilactobacillus kefiri	0.3591	99.86	0.895	99.82	0.09	55	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus
ERR11865495	kefir	milk goat	Dairy	MAG_15	Acetobacter fabarum	0.356	99.85	0.746	100	0.25	21	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR11865495	kefir	milk goat	Dairy	MAG_S8	Lactobacillus kefiranofaciens	0.1484	98.84	0.428	99.03	0	106	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865495	kefir	milk goat	Dairy	Wy2_bin.circ.1	Streptococcus thermophilus	0.0318	97.73	0.095	99.89	0.15	1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ERR1981166	nunu	milk	Dairy	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6	Leuconostoc falkenbergense	28.3243	98.97	25	100	0	16	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
ERR1981166	nunu	milk	Dairy	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101	Enterococcus B lactis	27.4945	98.31	15	99.62	0	53	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B
ERR1981166	nunu	milk	Dairy	WalshAM_2017__ERS1739834__bin.1	Streptococcus infantarius	13.2993	99.98	12.225	99.62546816	0	25	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ERR1981166	nunu	milk	Dairy	YouL_2022__SRR13308520__bin.4	Macrococcoides caseolyticum	6.8278	98.84	5.54	98.85	0.05	61	Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcoides
ERR1981166	nunu	milk	Dairy	MAG_19	Klebsiella pneumoniae	12.1084	98.99	3.612	98.94	0.47	86	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
ERR1981166	nunu	milk	Dairy	CM_UNINA_FFOOD__FFOOD_286__bin.4	Rothia kristinae	4.8118	99.27	3.146	97.93	0.17	171	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Rothia
ERR1981166	nunu	milk	Dairy	YulandiA_2020__SRS6115052__bin.21	Weissella paramesenteroides	2.2789	98.11	1.92	98.36400818	0	104	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
ERR1981166	nunu	milk	Dairy	MAG_501	Lactococcus lactis	2.5532	96.62	1.745	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR1981166	nunu	milk	Dairy	MASTER_WP4_CSIC_2__P2603__bin.2	Moraxella A sp902506215	0.4804	96.81	0.396	74.13793103	0	13	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella_A
ERR1981166	nunu	milk	Dairy	FalardeauJ_2023__SRR20811279__bin.3	Lactiplantibacillus plantarum	0.6921	98.15	0.348	99.97	0.24	56	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus
ERR1981166	nunu	milk	Dairy	KharnaiorP_2023__SRR22859379__bin.8	Pediococcus pentosaceus	0.2568	99.09	0.253	99.96	0.01	43	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus
ERR1981166	nunu	milk	Dairy	MASTER_WP4_FFoQSI_2__VB16-22__bin.7	Kocuria salsicia	0.2665	96.73	0.147	98.68421053	0	70	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Kocuria
ERR1981166	nunu	milk	Dairy	FontanaF_2023__SRR20746979__bin.3	Lactobacillus helveticus	0.1138	96.43	0.105	99.85	0.07	165	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR1981166	nunu	milk	Dairy	GCF_004771075.1_ASM477107v1_genomic	Weissella confusa	0.1413	97.36	0.1	99.08	0	2	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
ERR1981166	nunu	milk	Dairy	FontanaF_2023__SRR20746839__bin.4	Limosilactobacillus fermentum	0.0549	96.57	0.051	99.89	0.03	58	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
ERR1981166	nunu	milk	Dairy	LeechJ_2020__ERS3967688__bin.2	Escherichia coli	0.1437	99.25	0.051	99.37169312	0.037202381	102	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
ERR1981166	nunu	milk	Dairy	EBC_089.16	Proteus mirabilis	0.1016	96.01	0.043	96.22	0.54	216	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus
ERR1981166	nunu	milk	Dairy	AlvarezOrdonezA_xxxx__C05-18__bin.6	Dermacoccus nishinomiyaensis	0.0505	97.44	0.041	62.65122265	0.455598456	667	Actinomycetota;Actinomycetes;Actinomycetales;Dermatophilaceae;Dermacoccus
ERR1981167	nunu	milk	Dairy	CM_UNINA_FFOOD__FFOOD_270__bin.3	Streptococcus suis AA	51.3834	98.91	40	94.05	0.03	126	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ERR1981167	nunu	milk	Dairy	MAG_6	Klebsiella quasipneumoniae	17.9464	99.97	6.603	71.87	2.06	629	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
ERR1981167	nunu	milk	Dairy	WalshAM_2017__ERS1739834__bin.1	Streptococcus infantarius	7.7777	99.98	6.353	99.62546816	0	25	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ERR1981167	nunu	milk	Dairy	MAG_19	Klebsiella pneumoniae	12.7207	98.34	3.373	98.94	0.47	86	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
ERR1981167	nunu	milk	Dairy	MAG_312	Acinetobacter baumannii	4.4547	98.91	1.793	99.73	0.05	90	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
ERR1981167	nunu	milk	Dairy	YouL_2022__SRR13308520__bin.4	Macrococcoides caseolyticum	1.2715	98.89	0.917	98.85	0.05	61	Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcoides
ERR1981167	nunu	milk	Dairy	EBC_134.7	Klebsiella variicola	1.9359	97.39	0.464	99.07	3.09	126	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
ERR1981167	nunu	milk	Dairy	LeechJ_xxxx__AF89__bin.7	Enterobacter vonholyi	0.9834	95.88	0.341	89.13303923	3.907431028	666	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
ERR1981167	nunu	milk	Dairy	FontanaF_2023__SRR20746839__bin.4	Limosilactobacillus fermentum	0.2705	98.8	0.222	99.89	0.03	58	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
ERR1981167	nunu	milk	Dairy	LeechJ_2020__ERS3967688__bin.2	Escherichia coli	0.6506	98.71	0.204	99.37169312	0.037202381	102	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
ERR1981167	nunu	milk	Dairy	LopezSanchezR_2023__SRR13708567__bin.13	Acinetobacter sp013417555	0.2629	97.54	0.16	74.78	2.02	552	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
ERR1981167	nunu	milk	Dairy	GCF_001885995.1_ASM188599v1_genomic	Enterococcus G italicus	0.1701	95.53	0.102	99.01	0	108	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_G
ERR1981167	nunu	milk	Dairy	MASTER_WP4_CSIC_1__P2235_73323__bin.9	Enterococcus faecalis	0.0728	98.64	0.036	99.62546816	0	44	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
ERR1981167	nunu	milk	Dairy	CM_UNINA_FFOOD__FFOOD_251__bin.10	Aeromonas caviae	0.0993	97.1	0.035	93.91	0.19	288	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Aeromonas
ERR1981175	nunu	milk	Dairy	WalshAM_2017__ERS1739834__bin.1	Streptococcus infantarius	62.6247	99.98	55	99.62546816	0	25	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ERR1981175	nunu	milk	Dairy	MAG_19	Klebsiella pneumoniae	27.9466	99.52	7.966	98.94	0.47	86	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
ERR1981175	nunu	milk	Dairy	WalshAM_2017__ERR1981175__bin.3	Streptococcus spp.	6.5663	99.89	5.933	93.79	0.7	275	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ERR1981175	nunu	milk	Dairy	GCF_004771075.1_ASM477107v1_genomic	Weissella confusa	1.5761	98.39	1.063	99.08	0	2	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
ERR1981175	nunu	milk	Dairy	YouL_2022__SRR13308520__bin.4	Macrococcoides caseolyticum	0.4055	98.23	0.314	98.85	0.05	61	Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcoides
ERR1981175	nunu	milk	Dairy	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101	Enterococcus B lactis	0.3242	97.79	0.169	99.62	0	53	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B
ERR1981175	nunu	milk	Dairy	LeechJ_2020__ERS3967688__bin.2	Escherichia coli	0.3209	99.29	0.108	99.37169312	0.037202381	102	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
ERR1981175	nunu	milk	Dairy	MASTER_WP4_TEAGASC_1__TGS12-29__bin.6	Enterococcus B faecium	0.1691	95.66	0.105	99.62546816	0	108	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B
ERR1981175	nunu	milk	Dairy	MAG_191	Vagococcus sp003462485	0.0665	96.87	0.081	68.18	0.29	297	Bacillota;Bacilli;Lactobacillales;Vagococcaceae;Vagococcus
ERR2014805	nunu	milk	Dairy	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6	Leuconostoc falkenbergense	28.3243	98.97	25	100	0	16	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
ERR2014805	nunu	milk	Dairy	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101	Enterococcus B lactis	27.4945	98.31	15	99.62	0	53	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B
ERR2014805	nunu	milk	Dairy	WalshAM_2017__ERS1739834__bin.1	Streptococcus infantarius	13.2993	99.98	12.225	99.62546816	0	25	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ERR2014805	nunu	milk	Dairy	YouL_2022__SRR13308520__bin.4	Macrococcoides caseolyticum	6.8278	98.84	5.54	98.85	0.05	61	Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcoides
ERR2014805	nunu	milk	Dairy	MAG_19	Klebsiella pneumoniae	12.1084	98.99	3.612	98.94	0.47	86	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
ERR2014805	nunu	milk	Dairy	CM_UNINA_FFOOD__FFOOD_286__bin.4	Rothia kristinae	4.8118	99.27	3.146	97.93	0.17	171	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Rothia
ERR2014805	nunu	milk	Dairy	YulandiA_2020__SRS6115052__bin.21	Weissella paramesenteroides	2.2789	98.11	1.92	98.36400818	0	104	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
ERR2014805	nunu	milk	Dairy	MAG_501	Lactococcus lactis	2.5532	96.62	1.745	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR2014805	nunu	milk	Dairy	MASTER_WP4_CSIC_2__P2603__bin.2	Moraxella A sp902506215	0.4804	96.81	0.396	74.13793103	0	13	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella_A
ERR2014805	nunu	milk	Dairy	FalardeauJ_2023__SRR20811279__bin.3	Lactiplantibacillus plantarum	0.6921	98.15	0.348	99.97	0.24	56	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus
ERR2014805	nunu	milk	Dairy	KharnaiorP_2023__SRR22859379__bin.8	Pediococcus pentosaceus	0.2568	99.09	0.253	99.96	0.01	43	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus
ERR2014805	nunu	milk	Dairy	MASTER_WP4_FFoQSI_2__VB16-22__bin.7	Kocuria salsicia	0.2665	96.73	0.147	98.68421053	0	70	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Kocuria
ERR2014805	nunu	milk	Dairy	FontanaF_2023__SRR20746979__bin.3	Lactobacillus helveticus	0.1138	96.43	0.105	99.85	0.07	165	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR2014805	nunu	milk	Dairy	GCF_004771075.1_ASM477107v1_genomic	Weissella confusa	0.1413	97.36	0.1	99.08	0	2	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
ERR2014805	nunu	milk	Dairy	FontanaF_2023__SRR20746839__bin.4	Limosilactobacillus fermentum	0.0549	96.57	0.051	99.89	0.03	58	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
ERR2014805	nunu	milk	Dairy	LeechJ_2020__ERS3967688__bin.2	Escherichia coli	0.1437	99.25	0.051	99.37169312	0.037202381	102	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
ERR2014805	nunu	milk	Dairy	EBC_089.16	Proteus mirabilis	0.1016	96.01	0.043	96.22	0.54	216	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus
ERR2014805	nunu	milk	Dairy	AlvarezOrdonezA_xxxx__C05-18__bin.6	Dermacoccus nishinomiyaensis	0.0505	97.44	0.041	62.65122265	0.455598456	667	Actinomycetota;Actinomycetes;Actinomycetales;Dermatophilaceae;Dermacoccus
