accession_name	food_name	genome_accession	species	Sequence_abundance	Adjusted_ANI	Eff_cov	completeness	contamination	contigs	taxonomy
ERR4757805	kvass	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	0.5627	99.38	0.153	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757806	kimchi	LeechJ_2020__ERS3967694__bin.5	Kazachstania saulgeensis	5.115	99.92	1.509	95.4	1.7	658	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757807	boza	LeechJ_2020__ERS3967694__bin.5	Kazachstania saulgeensis	8.0802	99.85	3.937	95.4	1.7	658	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757807	boza	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	1.9673	99	1.042	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757807	boza	DuR_2020__DRS139333__bin.13	Wickerhamomyces anomalus	0.9586	98.53	0.446	71	0.6	3628	Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces
ERR4757809	orange	LeechJ_2020__ERS3967694__bin.5	Kazachstania saulgeensis	59.9817	100	18	95.4	1.7	658	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757809	orange	LeechJ_2020__ERS3967694__bin.3	Starmerella bacillaris	23.4009	100	9.007	70.1	0.6	731	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;Starmerella
ERR4757809	orange	SternesPR_2017__Y2D1_A_shotgun__bin.3	Hanseniaspora uvarum	7.4331	99.39	3.026	79.9	0	389	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ERR4757809	orange	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	5.6304	99.76	2.357	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757809	orange	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	2.1399	99.63	0.716	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757809	orange	DuR_2020__DRS139333__bin.13	Wickerhamomyces anomalus	0.2692	98.25	0.077	71	0.6	3628	Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces
ERR4757809	orange	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.1443	98.31	0.041	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
ERR4757809	orange	DuR_2020__DRS139334__bin.19	Pichia kluyveri	0.1252	98.01	0.038	76.7	0	3007	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757809	orange	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.0545	100	0.016	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
ERR4757810	sauerkraut	LeechJ_2020__ERS3967694__bin.5	Kazachstania saulgeensis	17.3246	99.96	5.753	95.4	1.7	658	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757811	tepache	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	0.2732	98.84	0.1	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757811	tepache	MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin.1	Zygotorulaspora florentina	0.1388	99.26	0.058	99.1	0.1	368	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygotorulaspora
ERR4757811	tepache	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	0.045	98.22	0.017	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757812	beer ginger	MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin.1	Zygotorulaspora florentina	11.5451	99.93	1.767	99.1	0.1	368	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygotorulaspora
ERR4757812	beer ginger	GCF_011074885.1_ASM1107488v2_genomic	Brettanomyces bruxellensis	8.4254	98.92	1.042	98.76	0.21	9	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
ERR4757812	beer ginger	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	3.5964	99.48	0.488	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757812	beer ginger	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	1.263	99.45	0.244	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757813	tempeh	DuR_2020__DRS139335__bin.25	Cyberlindnera fabianii	0.2924	99.67	0.22	65	0	2059	Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera
ERR4757813	tempeh	GCA_003325435.1_Razy_CA_genomic	Rhizopus oligosporus	0.3187	95.82	0.057	94.35	51.74	5774	Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus
ERR4757814	pickle cucumber	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	1.3076	99.33	0.469	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
ERR4757814	pickle cucumber	MASTER_WP4_TEAGASC_1__TGS05-22__bin.3	Candida boidinii group 1	0.3136	98.58	0.106	80.3	0.2	4091	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea
ERR4757815	kefir	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	7.7647	99.05	3.464	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757815	kefir	EBC_024.4	Kluyveromyces marxianus	2.5438	98.44	1.206	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
ERR4757815	kefir	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	0.2543	98.87	0.103	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757815	kefir	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.2392	97.34	0.074	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
ERR4757816	tibicos	ODFM-BA-A-0118-001_Brettanomyces_anomalus_YV396	Brettanomyces anomalus	13.1859	99.92	6.01	99.17	0	30	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
ERR4757816	tibicos	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	1.3713	99.61	0.671	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757816	tibicos	MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin.1	Zygotorulaspora florentina	0.7202	99.94	0.398	99.1	0.1	368	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygotorulaspora
ERR4757816	tibicos	GCF_011074885.1_ASM1107488v2_genomic	Brettanomyces bruxellensis	0.8285	98.89	0.37	98.76	0.21	9	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
ERR4757816	tibicos	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	0.6001	98.9	0.327	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757816	tibicos	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	0.0684	99.02	0.048	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757818	pickle daikon	MASTER_WP4_FFoQSI_2__VB10-22__bin.21	unknown spp.	3.7496	96.84	0.59	78.5	0.5	56	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;unknown
ERR4757818	pickle daikon	SternesPR_2017__Y2D1_A_shotgun__bin.3	Hanseniaspora uvarum	0.4656	99.08	0.083	79.9	0	389	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ERR4757818	pickle daikon	MASTER_WP4_FFoQSI_2__VB10-22__bin.15	Wickerhamiella versatilis	0.4796	98.66	0.08	83.2	0.6	42	Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella
ERR4757818	pickle daikon	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.5126	96.66	0.066	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
ERR4757818	pickle daikon	XieM_2019__SAMC044639__bin.29	Penicillium polonicum	1.2642	97.96	0.065	91.4	0.3	2071	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
ERR4757818	pickle daikon	SternesPR_2017__Y3D1_B_shotgun__bin.2	Aureobasidium pullulans	0.6267	95.48	0.036	90.3	0.3	3405	Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium
ERR4757819	pickle mixed vegetables	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	1.9004	99.78	0.381	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
ERR4757819	pickle mixed vegetables	MASTER_WP4_FFoQSI_2__VB10-22__bin.15	Wickerhamiella versatilis	0.1552	99.11	0.04	83.2	0.6	42	Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella
ERR4757821	amazake	LeechJ_2020__ERS3967714__bin.6	Saccharomyces uvarum	0.4803	95.29	0.045	92.7	2.4	784	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757821	amazake	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	0.2869	95.23	0.024	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757822	kvass	GCA_003243815.1_ASM324381v1_genomic	Candida sake	0.1315	99.87	0.051	99.79	0	17	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora
ERR4757823	tibicos	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	0.0903	99	0.042	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757823	tibicos	EBC_024.4	Kluyveromyces marxianus	0.0482	97.84	0.024	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
ERR4757825	sauerkraut	ODFM-BA-A-0118-001_Brettanomyces_anomalus_YV396	Brettanomyces anomalus	0.0478	95.65	0.021	99.17	0	30	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
ERR4757826	sauerkraut	LeechJ_2020__ERS3967742__bin.3	Kazachstania barnettii	12.0691	99.82	4.225	93.4	1.4	1616	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757826	sauerkraut	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	0.1663	98.89	0.08	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757826	sauerkraut	LeechJ_2020__ERS3967694__bin.5	Kazachstania saulgeensis	0.091	96.12	0.031	95.4	1.7	658	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757826	sauerkraut	LeechJ_2020__ERS3967714__bin.6	Saccharomyces uvarum	0.0647	98.48	0.024	92.7	2.4	784	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757827	kimchi	LeechJ_2020__ERS3967742__bin.3	Kazachstania barnettii	0.8463	99.57	0.193	93.4	1.4	1616	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757828	sauerkraut	LeechJ_2020__ERS3967742__bin.3	Kazachstania barnettii	0.2948	99.27	0.095	93.4	1.4	1616	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757829	tibicos	LeechJ_2020__ERS3967714__bin.6	Saccharomyces uvarum	67.4323	100	28	92.7	2.4	784	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757829	tibicos	MASTER_WP4_TEAGASC_1__TGS05-22__bin.3	Candida boidinii group 1	0.0326	100	0.009	80.3	0.2	4091	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea
ERR4757830	tibicos	MASTER_WP4_TEAGASC_1__TGS05-22__bin.3	Candida boidinii group 1	0.5116	98.14	0.242	80.3	0.2	4091	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea
ERR4757830	tibicos	LeechJ_2020__ERS3967714__bin.6	Saccharomyces uvarum	0.1466	99.8	0.104	92.7	2.4	784	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757831	tibicos	MASTER_WP4_TEAGASC_1__TGS05-22__bin.3	Candida boidinii group 1	0.1029	97.87	0.035	80.3	0.2	4091	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea
ERR4757835	cheese russian	LeechJ_2020__ERS3967714__bin.6	Saccharomyces uvarum	0.0535	95.74	0.029	92.7	2.4	784	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757835	cheese russian	LeechJ_xxxx__AF26__bin.14	unknown spp.	0.0432	95.77	0.028	70.9	0.1	2372	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;unknown
ERR4757835	cheese russian	GCA_003243815.1_ASM324381v1_genomic	Candida sake	0.0434	98.84	0.018	99.79	0	17	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora
ERR4757837	sauerkraut	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	0.2041	98.61	0.062	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757837	sauerkraut	LeechJ_2020__ERS3967714__bin.6	Saccharomyces uvarum	0.094	97.08	0.028	92.7	2.4	784	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757839	vinegar apple cider	GCF_011074885.1_ASM1107488v2_genomic	Brettanomyces bruxellensis	12.3826	98.88	4.048	98.76	0.21	9	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
ERR4757839	vinegar apple cider	ODFM-BA-A-0118-001_Brettanomyces_anomalus_YV396	Brettanomyces anomalus	10.3736	99.77	3.463	99.17	0	30	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
ERR4757839	vinegar apple cider	LeechJ_2020__ERS3967714__bin.6	Saccharomyces uvarum	0.0406	97.93	0.016	92.7	2.4	784	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757840	kefir	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.3509	98.48	0.143	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
ERR4757842	tibicos	GCF_011074885.1_ASM1107488v2_genomic	Brettanomyces bruxellensis	10.7935	98.75	3.401	98.76	0.21	9	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
ERR4757842	tibicos	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	2.1588	99.47	0.746	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757842	tibicos	ODFM-BA-A-0118-001_Brettanomyces_anomalus_YV396	Brettanomyces anomalus	0.5752	99.33	0.185	99.17	0	30	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
ERR4757842	tibicos	MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin.1	Zygotorulaspora florentina	0.2132	100	0.083	99.1	0.1	368	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygotorulaspora
ERR4757842	tibicos	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.0898	97.03	0.03	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
ERR4757842	tibicos	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	0.0531	96.47	0.02	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR4757843	tibicos	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	12.2678	99.47	5.067	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR4757843	tibicos	GCF_011074885.1_ASM1107488v2_genomic	Brettanomyces bruxellensis	5.2613	98.96	1.982	98.76	0.21	9	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
