Species/Strain,Updated_Taxonomic_Name,Typical Use / Role,Accession,Contigs,Notes,Used in CPG Products,Used in Kid Products,GRAS Approval,Considered or Marketed as Probiotic,GRAS link,Commercial Product
Lactobacillus acidophilus NCFM,Lactobacillus acidophilus NCFM,"Yogurts, fermented milks, supplements",GCF_000011985.1,1,,Yes,Yes,Yes,Yes,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=GRASNotices&id=357&sort=GRN_No&order=DESC&startrow=1&type=basic&search=lactobacillus%20acidophilus,Danisco/Dupont nutrition
Lactobacillus brevis ATCC 367,Levilactobacillus brevis ATCC 367,"Fermented vegetables, pickles, some beers",GCF_000014465.1,3,,Yes,Yes,No,No,No,
Lactobacillus casei ATCC 393,Lacticaseibacillus casei ATCC 393,"Kids supplement, unflavored milk",GCF_000829055.1,,,Yes,Yes,Not this exact strain,Yes,,
Lactobacillus crispatus ST1,Lactobacillus crispatus ST1,Occasionally in fermented foods; studied for urogenital health,GCF_000091765.1,1,,Yes,No,No,Yes,No,
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842,Yogurt starter (w/ Streptococcus thermophilus),GCF_000056065.1,1,,Yes,Yes,No,Yes,No,
Lactobacillus fermentum IFO 3956,Limosilactobacillus fermentum IFO 3956,"Fermented cereals, sourdough, infant formula",GCF_000010145.1,1,,Yes,Yes,Not this exact strain,Yes,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=GRASNotices&id=531&sort=GRN_No&order=DESC&startrow=1&type=basic&search=lactobacillus%20fermentum,Biosearch life in Spain that was acquired
Lactobacillus gasseri ATCC 33323,Lactobacillus gasseri ATCC 33323,Kids supplement ,GCA_000014425.1,1,,Yes,Yes,Not this exact strain,Yes,https://www.fda.gov/media/169966/download,Chr Hansen strain
Lactobacillus helveticus DPC 4571,Lactobacillus helveticus DPC 4571,"Cheese production (Swiss types), certain yogurts, infant formula",GCF_000015385.1,1,,Yes,Yes,Not this exact strain,Yes,https://www.fda.gov/media/122558/download,Jhaumbach
Lactobacillus kefiranofaciens ZW3,Lactobacillus kefiranofaciens subsp. kefiranofaciens,Kefir grains: produces kefiran exopolysaccharide,GCF_000214785.1,3,,Yes,No,No,Yes,No,https://cerenovex.com/products/cerenovex-probiotic?gad_source=1&gad_campaignid=21239117466&gbraid=0AAAAAqhmsipUBOlj6Fk95yZV7YwSeTwpq&gclid=CjwKCAjwi-DBBhA5EiwAXOHsGcduSwaGSoI6irgWhF2X-8Er7v8R8DV0xGLOXkA8_7LheBrx2hqGwRoClxIQAvD_BwE
Lactobacillus kefiri KCTC 3547,Lentilactobacillus kefiri strain DH5,"Kefir grains: lactic acid production, flavor",GCF_009739535.1,2,DH5 strain is reference genome,Yes,No,No,Yes,No,https://cerenovex.com/products/cerenovex-probiotic?gad_source=1&gad_campaignid=21239117466&gbraid=0AAAAAqhmsipUBOlj6Fk95yZV7YwSeTwpq&gclid=CjwKCAjwi-DBBhA5EiwAXOHsGcduSwaGSoI6irgWhF2X-8Er7v8R8DV0xGLOXkA8_7LheBrx2hqGwRoClxIQAvD_BwE
Lactobacillus reuteri F275,Limosilactobacillus reuteri subsp. reuteri,"Probiotic yogurts, infant formulas, supplements",GCF_000016825.1,1,,Yes,Yes,Not this exact strain,Yes,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=GRASNotices&id=254&sort=GRN_No&order=DESC&startrow=1&type=basic&search=lactobacillus%20reuteri,
Lactobacillus rhamnosus GG (LGG),Lacticaseibacillus rhamnosus GG,"Yogurt, dairy products, functional foods",GCF_000026505.1,1,HN001 approved in infant formula,Yes,Yes,Yes,Yes,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=GRASNotices&id=845&sort=GRN_No&order=DESC&startrow=1&type=basic&search=lactobacillus%20rhamnosus,
Lactobacillus salivarius,Ligilactobacillus salivarius strain B4311,Kids supplement,GCA_035231985.1,3,,Yes,Yes,No,Yes,,
Lactococcus lactis subsp. cremoris SK11,Lactococcus cremoris subsp. cremoris SK11,Flavor development in various cheeses,GCF_000014545.1,6,,No,No,No,No,No,
Lactococcus lactis subsp. lactis IL1403,Lactococcus lactis subsp. lactis IL1403,"Major dairy starter for cheese, etc.",GCF_000006865.1,1,,Yes,Yes,No,Yes,No,
Leuconostoc citreum KM20,Leuconostoc citreum KM20,kimchi,GCF_000026405.1,5,,No,No,No,No,No,
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,Kefir grains: produces CO‚ÇÇ & diacetyl (aroma/flavor),GCF_000014445.1,2,,No,No,No,No,No,
Streptococcus thermophilus LMD-9,Streptococcus thermophilus LMD-9,Yogurt co-starter with L. delbrueckii subsp. bulgaricus,GCF_000014485.1,3,,Yes,Yes,Not this exact strain,Yes,No,
Bacteroides xylanisolvens ,Bacteroides xylanisolvens strain CL11T00C03,Heat-treated strain in fermented low-fat and skim milk,GCF_018289135.1,4,,No,No,Yes,No,https://wayback.archive-it.org/7993/20171031043229/https://www.fda.gov/downloads/Food/IngredientsPackagingLabeling/GRAS/NoticeInventory/UCM349352.pdf,
Pediococcus acidilacti PMC65,Pediococcus acidilacti PMC65,"Fermented grains, probiotic products",GCA_013127755.1,1,,Yes,No,Not this exact strain,Yes,,
Pediococcus pentosaceus ATCC 25745,Pediococcus pentosaceus ATCC 25745,bobbie Organic Probiotic Drops,GCF_000014505.1,1,,Yes,Yes,No,Yes,No,Bobbie probiotic drops
Saccharomyces cerevisiae S288C,Saccharomyces cerevisiae S288C,"bread, beer",GCF_000146045.2,16,,No,No,Yes,No,"Several, many strains, mostly enzyme producing",
Saccharomyces boulardii,Saccharomyces boulardii strain KCTC,Kids supplements/probiotics,GCA_026225675.1,16,,Yes,Yes,No,Yes,No,"Florastor kids probiotic, mix into milk"
Streptococcus salivarius K12,Streptococcus salivarius K12,Kids supplements/probiotics,GCA_000286295.1,7,,Yes,Yes,No,Yes,No,OralBiotics lozanges for ENT health
Lactobacillus johnsonii,Lactobacillus johnsonii strain NCK2677,Fermented oats products,GCA_014058685.1,1,,No,No,No,No,No,
Aspergillus oryzae,Aspergillus oryzae,Fermented oats products,GCA_000184455.3,11,,No,No,Yes,No,Several,"Mostly for producing enzymes, not directly in food products on the GRAS list"
Aspergillus niger,Aspergillus niger,Fermented oats products,GCA_000002855.2,19,,No,No,Yes,No,Several,"Mostly for producing enzymes, not directly in food products on the GRAS list"
