run_accession	study_accession	study_title	experiment_accession	experiment_title	library_strategy	library_selection	library_layout	instrument_model	instrument_model_desc	run_total_bases	food_name	sample_name	origin	ingredient_group	main_ingredient	food_type
ERR11718202	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119077	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	2376095014	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718203	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119078	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	908306752	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718204	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119079	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	4790543330	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718206	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119081	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	2164469384	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718207	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119082	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	2887691246	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718208	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119083	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	4654109770	cheese	cheese	Animal	Dairy	milk	cheese
ERR11865276	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263394	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	576537446	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865277	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263395	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	603982988	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865278	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263396	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	728580713	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865284	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263402	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	452376228	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865285	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263403	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	586353481	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865286	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263404	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	665373479	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865287	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263405	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	668442602	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865288	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263406	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	503598919	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865289	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263407	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	543753035	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865290	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263408	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	690361048	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865291	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263409	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	659810890	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865292	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263410	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	266097368	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865294	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263412	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	574070307	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865295	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263413	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	537392652	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865296	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263414	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	448531650	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865297	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263415	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	339762676	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865298	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263416	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	627330034	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865299	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263417	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	727843009	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865300	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263418	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	421495820	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865301	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263419	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	578058894	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865302	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263420	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	686761373	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865303	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263421	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1002048634	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865304	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263422	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	395328287	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865305	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263423	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	541290534	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865306	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263424	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	578276366	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865307	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263425	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	639452268	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865308	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263426	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	572770485	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865309	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263427	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	509044386	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865310	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263428	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	704221150	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865311	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263429	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	699811861	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865312	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263430	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	521381536	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865313	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263431	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	706752304	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865314	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263432	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	757288529	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865315	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263433	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	713440541	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865316	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263434	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	311852253	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865317	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263435	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	582754322	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865318	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263436	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	618634969	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865319	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263437	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	567055531	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865320	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263438	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	285322956	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865321	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263439	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	506209289	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865322	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263440	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	649210989	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865323	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263441	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	673545997	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865324	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263442	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	364908720	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865325	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263443	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	460599522	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865326	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263444	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	728270106	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865327	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263445	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	532644916	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865328	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263446	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	158722683	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865329	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263447	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	450281324	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865330	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263448	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	684229747	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865331	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263449	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	609382822	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865332	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263450	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	233811886	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865333	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263451	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	559927704	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865334	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263452	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	694729003	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865335	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263453	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	564334658	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865336	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263454	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	188476990	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865337	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263455	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	672709488	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865338	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263456	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	524396340	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865339	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263457	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	965091160	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865340	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263458	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	185535680	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865341	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263459	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	639074238	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865342	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263460	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	702127555	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865343	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263461	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	916580453	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865344	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263462	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	346284383	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865345	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263463	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	657206222	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865346	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263464	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	855229985	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865347	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263465	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	912586711	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865348	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263466	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	465828444	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865349	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263467	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	768451894	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865350	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263468	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	796519826	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865351	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263469	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	578495957	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865352	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263470	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	607715564	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865353	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263471	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	597522080	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865354	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263472	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	632030794	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865355	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263473	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	656350041	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865356	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263474	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	683901803	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865357	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263475	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	565565266	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865359	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263477	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	667929036	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865360	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263478	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	762766068	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865361	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263479	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	683743385	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865362	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263480	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	732085142	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865363	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263481	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	763193817	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865364	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263482	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	420613471	kefir	kefir	Animal	Dairy	milk	beverage
ERR11865365	ERP150416	Analysis of the milk kefir pan-metagenome reveals four community types, core species and associated metabolic pathways.	ERX11263483	NextSeq 500 paired end sequencing	OTHER	RANDOM	PAIRED	NextSeq 500	ILLUMINA	725342081	kefir	kefir	Animal	Dairy	milk	beverage
